"","cod_distrito","distrito_nombre","cod_canton","canton_nombre","provincia_nombre","n_years"
"442",60603,"Naranjito",606,"Quepos","Puntarenas",11
"443",60701,"Golfito",607,"Golfito","Puntarenas",11
"444",60703,"Guaycará",607,"Golfito","Puntarenas",11
"445",60704,"Pavón",607,"Golfito","Puntarenas",11
"446",60801,"San Vito",608,"Coto Brus","Puntarenas",11
"447",60802,"Sabalito",608,"Coto Brus","Puntarenas",11
"448",60803,"Aguabuena",608,"Coto Brus","Puntarenas",11
"449",60804,"Limoncito",608,"Coto Brus","Puntarenas",11
"450",60805,"Pittier",608,"Coto Brus","Puntarenas",11
"451",60806,"Gutiérrez Braun",608,"Coto Brus","Puntarenas",9
"452",60901,"Parrita",609,"Parrita","Puntarenas",11
"453",61001,"Corredor",610,"Corredores","Puntarenas",11
"454",61002,"La Cuesta",610,"Corredores","Puntarenas",11
"455",61003,"Canoas",610,"Corredores","Puntarenas",11
"456",61004,"Laurel",610,"Corredores","Puntarenas",11
"457",61101,"Jacó",611,"Garabito","Puntarenas",11
"458",61102,"Tárcoles",611,"Garabito","Puntarenas",11
"459",61103,"Lagunillas",611,"Garabito","Puntarenas",3
"460",61201,"Monteverde",612,"Monteverde","Puntarenas",11
